N,Title,Keywords,Abstract,Reference,Doi
11053,Psoriasis: is it the tip of the iceberg for the quality of life of patients and their families?,"Adolescent; Adult; Aged; Aged, 80 and over; Family/psychology; Female; Humans; Male; Middle Aged; Psoriasis/physiopathology/psychology; Quality of Life; Surveys and Questionnaires; Young Adult","OBJECTIVE: To evaluate the impact of psoriasis on patients' and their relatives' quality of life (QoL). METHODS: Eighty patients with their accompanying family members were included in the study. For measuring health related QoL (HRQoL) of patients with psoriasis, two questionnaires were used: Short Form 36 Health Survey (SF-36) and EuroQol (EQ-5D). Disease-specific HRQoL was assessed by the Dermatology Life Quality Index. For measuring the quality of life of patients' relatives, a specific questionnaire for dermatological diseases was used (Family Dermatology Life Quality Index, FDLQI). RESULTS: Of our patients, 88.3% reported that their disease affects in many and different ways their QoL whereas only 11.2% reported that psoriasis does not influence at all their life. Regarding FDLQI, 90% of the participating family members, responded that their relative's psoriasis affected their own QoL. CONCLUSIONS: Psoriasis is a chronic disease that affects in a cumulative way the quality of life of both patients and their close relatives",J Eur Acad Dermatol Venereol. 2011 Nov;25(11):1282-7,10.1111/j.1468-3083.2010.03965.x
5285,Patient-reported outcomes after revision surgery compared to primary total hip arthroplasty,"Adult; Aged; Arthroplasty, Replacement, Hip/adverse effects/methods; Cohort Studies; Female; Follow-Up Studies; Hip Prosthesis; Humans; Male; Middle Aged; Osteoarthritis, Hip/diagnostic imaging/surgery; Pain Measurement; Patient Reported Outcome Measures; Prosthesis Design; Quality of Life; Reoperation/statistics & numerical data; Retrospective Studies; Time Factors; Treatment Outcome","INTRODUCTION: Patients who undergo either primary or revision total hip arthroplasty (THA) mainly expect improvement in pain, function/activity and quality of life. The purpose of the study was to measure the degree of short-term and medium-term improvement and the differences in patient-reported outcome that can be expected in patients undergoing revision THA, compared to patients undergoing primary THA. METHODS: In this study, the results of patient-reported outcome measurements were compared in 124 matched patients, who underwent revision surgery and primary THA between 01/2007 and 12/2009. Assessment was performed at short-term and medium-term follow-up and included the WOMAC score, the UCLA activity score and EuroQol scores. RESULTS: 6 months after revision THA, the mean total WOMAC score improved by 22.1 points, the UCLA activity score by 0.6 points and the EuroQol-Index by 0.2 points. After primary THA, the improvement was 41.4 points on the WOMAC, 1.1 points on the UCLA and 0.3 points on the EuroQol-Index. At medium-term follow-up, 3.6 years after revision surgery and 2.3 years after primary THA, patients undergoing revision THA showed significantly less overall improvement, as well as lower final outcome scores, than patients undergoing primary THA. CONCLUSIONS: Patients undergoing revision arthroplasty, as well as patients undergoing primary THA, can expect major improvement in function, activity and quality of life postoperatively. However, overall level of improvement, as well as peak attainable outcome levels, are lower after revision surgery than after primary THA. Appropriate information for patients who undergo hip revision surgery is necessary in order to avoid unrealistic expectations and postoperative dissatisfaction",Hip Int. 2017 Mar 31;27(2):180-186,10.5301/hipint.5000436
7412,Back pain and MRI changes in the thoraco-lumbar spine of young elite Mogul skiers,Adolescent; Cross-Sectional Studies; Female; Humans; Low Back Pain/diagnostic imaging/epidemiology; Lumbar Vertebrae/diagnostic imaging; Magnetic Resonance Imaging; Male; Skiing; Spinal Diseases/diagnostic imaging/epidemiology; Young Adult; Low back pain; Magnetic resonance imaging; athletes; cross-sectional studies; intervertebral disc displacement; physical loading; sports; young adult,"Athletes have a higher prevalence of LBP and spinal abnormalities on Magnetic Resonance Imaging (MRI) compared to non-athletes. The objective of this study was to investigate the amount of spinal MRI abnormalities and the lifetime prevalence of low back pain (LBP) in 16 young elite Mogul skiers compared to 28 non-athletes in the corresponding age in a cross-sectional design. LBP was assessed by a questionnaire consisting of a part regarding previous or present back pain, the Oswestry disability index, and the EuroQol questionnaire. MRI examinations from Th5 to sacrum were conducted to evaluate spinal pathologies. The Mogul skiers had significantly more MRI abnormalities (like disc degeneration) in mean (7.25 vs 3.78, P < 0.023) compared to the controls. No significant difference was seen regarding the lifetime LBP prevalence between the groups (50% vs 42%, P = 0.555) No correlation could be found between disc degeneration and back pain in this study. Young elite Mogul skiers, compared to an age-matched control group of non-athletes, have an increased risk of developing spinal abnormalities potentially due to the different high loads that they are subjected to in their sport. Future relationship between the MRI abnormalities and LBP cannot be verified by this study design",Scand J Med Sci Sports. 2017 Sep;27(9):983-989,10.1111/sms.12710
10586,How should we evaluate health status? A comparison of three methods in patients presenting with obstructive sleep apnoea,"Adult; Aged; Health Status; Humans; Male; Middle Aged; Positive-Pressure Respiration; Quality of Life; Severity of Illness Index; Sleep Apnea Syndromes/therapy; Statistics, Nonparametric; Surveys and Questionnaires","The purpose of this paper is to compare three approaches to the measurement of patient-reported health status which produce summary scales of health status: the Patient-generated Index (PGI) is a measure of individual quality of life (QoL), the EuroQol is a measure of QoL the results of which are weighted by utility values gained from community surveys and the SF-36 which produces two summary scales of health status (the physical component summary (PCS) and the mental component summary (MCS) scores). A follow-up interview survey of patients with obstructive sleep apnoea (OSA) was conducted. The patients received continuous positive airways pressure therapy (CPAP) between the two administrations of the questionnaires. One hundred patients presenting with OSA and who were suitable for CPAP therapy were asked if they would take part in the study. The results on the PGI, EuroQol EQ-5D utility weighted scores and 'thermometer' scores and SF-36 physical and mental summary scores were measured. Eighty-nine respondents provided sufficient data to calculate PGI and EuroQol scores and 86 patients provided sufficient data to calculate SF-36 summary scores. The PGI indicated substantial improvement after CPAP treatment whereas the EuroQol indicated little or no improvement on either utility weighted or thermometer scores. The SF-36 PCS and MCS scores were lower than those of the general population at baseline, but had improved to the normative levels after treatment. The EuroQol provided a substantially different picture of change to either of the ones gained from the SF-36 or PGI. It is suggested that the EuroQol does not contain questions which relate to important aspects of health and well-being and may not accurately reflect the health state of individuals. Consequently, caution must be exercised to assure that an appropriate instrument has been employed when using health outcomes data to assess or prioritize available health care treatments",Qual Life Res. 1998 Feb;7(2):95-100,10.1023/a:1008845123907
14089,Treatment with prolonged-release oxycodone/naloxone improves pain relief and opioid-induced constipation compared with prolonged-release oxycodone in patients with chronic severe pain and laxative-refractory constipation,"Aged; Analgesics, Opioid/adverse effects/therapeutic use; Chronic Pain/drug therapy; Constipation/chemically induced/prevention & control; Delayed-Action Preparations; Drug Combinations; Female; Humans; Laxatives/therapeutic use; Male; Middle Aged; Naloxone/adverse effects/therapeutic use; Oxycodone/adverse effects/therapeutic use; Quality of Life; laxative refractory; laxatives; opioid-induced constipation; pain; quality of life","PURPOSE: Laxative-refractory opioid-induced constipation (OIC) is defined as OIC despite using 2 laxatives with a different mechanism of action (based on the Anatomical Therapeutic Chemical Classification System level 4 term [contact laxatives, osmotically acting laxatives, softeners/emollients, enemas, and others]). OIC has a significant impact on the treatment and quality of life of patients with severe chronic pain. This noninterventional, observational, real-life study in Belgium investigated the efficacy of prolonged-release oxycodone/naloxone combination (PR OXN) treatment regarding pain relief and OIC compared with previous prolonged-release oxycodone (PR OXY) treatment for laxative-refractory OIC in daily clinical practice. METHODS: Laxative-refractory OIC patients with severe chronic pain were treated with PR OXN for 12 weeks (3 visits). Pain relief (assessed on a numerical rating scale) and OIC (assessed by using the Bowel Function Index [BFI]) were evaluated at each visit. A responder was defined as a patient who had: (1) no worsening of pain at the last visit compared with visit 1 or a numerical rating scale ≤4 at visit 3/last visit; and (2) a reduction in BFI ≥12 units at visit 3/last visit compared with visit 1; or (3) a BFI ≤28.8 at visit 3/last visit. FINDINGS: Sixty-eight laxative-refractory OIC patients with severe chronic pain (mean (sd) age 59.8 (13.3) years, 67.6% female and 91.2% non-malignant pain) were treated for 91 days with PR OXN (median daily dose, 20 mg). Treatment with PR OXN resulted in a significant and clinically relevant decrease of pain of 2.1 units (P < 0.001; 95% CI, 1.66-2.54) and of BFI by 48.5 units (P < 0.001; 95% CI, 44.4-52.7) compared with PR OXY treatment; use of laxatives was also significantly reduced (P < 0.001) Approximately 95% of patients were responders, and quality of life (as measured by using the EQ-5D) improved significantly. Adverse events were opioid related, and PR OXN treatment was well tolerated. IMPLICATIONS: Treatment with PR OXN resulted in a significant and clinically relevant reduction in OIC compared with previous PR OXY treatment for these patients with severe chronic pain and laxative-refractory OIC. Treatment with PR OXN also resulted in a significant improvement in pain relief and quality of life. ClinicalTrials.gov identifier: NCT01710917",Clin Ther. 2015 Apr 1;37(4):784-92,10.1016/j.clinthera.2015.02.010
10261,[Health Status of the German population: results of a representative survey using the EuroQol questionnaire],Adolescent; Adult; Age Factors; Aged; Confidence Intervals; Education; Female; Germany; Health Status; Health Surveys; Humans; Income; Interviews as Topic; Male; Middle Aged; Multivariate Analysis; Quality of Life; Sex Factors; Socioeconomic Factors; Surveys and Questionnaires,"PURPOSE: The EuroQol questionnaire (EQ-5D) is an instrument for subjectively describing and valuing health states. The purpose of this study was to measure the health status of the German population using the EQ-5D and to analyse the influence of sociodemographic factors. METHODS: As part of the European Study of the Epidemiology of Mental Disorders (ESEMeD) a representative sample of the non-institutionalised population aged 18 and above in Germany was surveyed by personal computer-based interviews in 2002/2003. Besides questions relating to the prevalence of psychiatric disorders and their risk factors, the health status of 3552 respondents was recorded using the EQ-5D. Frequency and factors of influence on problems in the EuroQol items mobility, self-care, usual activities, pain/discomfort, anxiety/depression as well as the valuation of health state on the visual analog scale (VAS) were analysed. RESULTS: 36 % of the respondents report problems in at least one of the EuroQol items; most frequent were problems in the dimension pain/discomfort (28 %), followed by mobility (17 %), everyday activities (10 %), anxiety/depression (4 %) and self-care (3 %). The mean VAS score was 77.4. Except for anxiety/depression the frequency of problems increased significantly with age and decreased with income. Women reported significantly more problems than men with regard to pain/discomfort and self-care. Having received more than 9 years of school education and being employed was associated with significantly fewer problems in all dimensions of the EuroQol. Living with a partner was associated with significantly fewer problems in the dimensions of self-care, usual activities and anxiety/depression. Multivariate analyses confirmed the effect of age, school education and employment on the frequency of problems, whereas for living with a partner only effects on self-care and anxiety/depression, and for gender only effects on pain/discomfort were confirmed. Income had no effect on frequency of problems in multivariate analyses. Young age, more than 9 years of school education, employment and living with a partner had a significantly positive effect on VAS score in multivariate analyses, while gender and income had no effect. CONCLUSIONS: The EQ-5D is a simple health state classification system, that can be used to detect variations in the health status of a population. This study provides EQ-5D-norm values for the German population",Gesundheitswesen. 2005 Mar;67(3):173-82,10.1055/s-2005-857991
1814,Cost-effectiveness of robotic hysterectomy versus abdominal hysterectomy in early endometrial cancer,Aged; Cost-Benefit Analysis; Endometrial Neoplasms/surgery; Female; Hospital Costs/statistics & numerical data; Humans; Hysterectomy/economics/methods; Length of Stay/economics; Middle Aged; Postoperative Complications/economics; Quality-Adjusted Life Years; Robotic Surgical Procedures/economics/methods; Sick Leave/economics; Surveys and Questionnaires; laparoscopes; laparotomy; operative; surgical oncology; surgical procedures; uterine cancer,"OBJECTIVES: To compare total costs for hospital stay and post-operative recovery between robotic and abdominal hysterectomy in the treatment of early-stage endometrial cancer provided in an enhanced recovery after surgery (ERAS) setting Costs were evaluated in relation to health impact, taking a societal perspective METHODS: Cost analysis was based on data from an open randomized controlled trial in an ERAS setting at a Swedish tertiary referral university hospital: 50 women with low-risk endometrial cancer scheduled for surgery between February 2012 and May 2016 were included; 25 women were allocated to robotic and 25 to abdominal hysterectomy. We compared the total time in the operating theater, procedure costs, post-operative care, length of hospital stay, readmissions, informal care, and sick leave as well as the health-related quality of life until 6 weeks after surgery. The comparison was made by using the EuroQoL group form with five dimensions and three levels (EQ-5D). The primary outcome measure was total cost; secondary outcomes were quality-adjusted life-years (QALYs) and cost per QALY The costs were calculated in Swedish Krona (SEK). RESULTS: Age (median (IQR) 68 (63-72) vs 67 (59-75) years), duration of hospital stay (ie, time to discharge criteria were met) (median (IQR) 36 (36-36) vs 36 (36-54) hours), and sick leave (median (IQR) 25 (17-30) vs 31 (36-54) days) did not differ between the robotic and abdominal group. Time of surgery was significantly longer in the robotic group than in the abdominal group (median (IQR) 70 (60-90) vs 56 (49-84) min; p<0.05). The robotic group recovered significantly faster as measured by the EQ-5D health index and gained 0.018 QALYs until 6 weeks after surgery. Total costs were 20% higher for the robotic procedure (SEK71 634 vs SEK59 319). The total cost per QALY gained for women in the robotic group was slightly under SEK700 000. CONCLUSIONS: Robotic hysterectomy used in an ERAS setting in the treatment of early endometrial cancer improved health within 6 weeks after the operation at a high cost for the health gained compared with abdominal hysterectomy. The productivity loss and informal care were lower for robotic hysterectomy, while healthcare had a higher procedure cost that could not be offset by the higher cost due to complications in the abdominal group",Int J Gynecol Cancer. 2020 Nov;30(11):1719-1725,10.1136/ijgc-2020-001611
6363,Study protocol: Effects of active versus passive recharge burst spinal cord stimulation on pain experience in persistent spinal pain syndrome type 2: a multicentre randomized trial (BURST-RAP study),Humans; Multicenter Studies as Topic; Pain; Pain Management/methods; Quality of Life; Randomized Controlled Trials as Topic; Spinal Cord Stimulation/methods; Treatment Outcome; Burst SCS; Motivational-emotional aspects of pain; Neuromodulation; Pain relief; Persistent spinal pain syndrome type 2; Spinal cord stimulation,"BACKGROUND: Spinal cord stimulation (SCS) has shown to be an effective treatment for patients with persistent spinal pain syndrome type 2 (PSPS Type 2). The method used to deliver electrical charge in SCS is important. One such method is burst stimulation. Within burst stimulation, a recharge pattern is used to prevent buildup of charge in stimulated tissues. Two variations of burst waveforms are currently in use: one that employs active recharge and one that uses passive recharge. It has been suggested that differences exist between active and passive recharge paradigms related to both efficacy of pain relief and their underlying mechanism of action. Active recharge has been shown to activate both the medial spinal pathway, engaging cortical sensorimotor areas involved in location and intensity of pain, and lateral pathway, reaching brain areas involved with cognitive-emotional aspects of pain. Passive recharge has been suggested to act via modulation of thalamic neurons, which fire in a similar electrical pattern, and thereby modulate activity in various cortical areas including those related to motivational and emotional aspects of pain. The objective of this randomized clinical trial is to assess and compare the effect of active versus passive recharge Burst SCS on a wide spectrum of pain in PSPS Type 2 patients. METHODS: This multicentre randomized clinical trial will take place in 6 Dutch hospitals. PSPS Type 2 patients (n=94) will be randomized into a group receiving either active or passive recharge burst. Following a successful trial period, patients are permanently implanted. Patients complete the Pain Catastrophizing Scale (PCS) (primary outcome at 6 months), Numeric Pain Rating Scale (NRS), Patient Vigilance and Awareness Questionnaire (PVAQ), Hospital Anxiety and Depression Scale (HADS), Quality of Life (EQ-5D), Oswestery Disability Index (ODI), Patient Global Impression of Change (PGIC) and painDETECT questionnaires (secondary outcomes) at baseline, after trial, 1, 3, 6 and 12 months following implantation. DISCUSSION: The BURST-RAP trial protocol will shed light on possible clinical differences and effectivity of pain relief, including emotional-motivational aspects between active and passive burst SCS in PSPS Type 2 patients. TRIAL REGISTRATION: ClinicalTrials.gov registration:  NCT05421273  Registered on 16 June 2022. Netherlands Trial Register NL9194. Registered on 23 January 2021",Trials. 2022 Sep 5;23(1):749,10.1186/s13063-022-06637-7
8029,Outcomes after occupational therapy intervention for traumatic brachial plexus injury: A prospective longitudinal cohort study,"Adolescent; Adult; Aged; Aged, 80 and over; Brachial Plexus/injuries; Brachial Plexus Neuropathies/rehabilitation; Cohort Studies; Disability Evaluation; Female; Humans; Longitudinal Studies; Male; Middle Aged; Occupational Therapy; Pain Measurement; Quality of Life; Sampling Studies; Young Adult; Brachial plexus neuropathies; Occupational therapy; Recovery of function; Rehabilitation; Upper extremity","STUDY DESIGN: Prospective longitudinal cohort study. INTRODUCTION: Traumatic brachial plexus injuries (BPIs) can be devastating and negatively impact daily function and quality of life. Occupational therapists play an important role in rehabilitation; however, studies identifying outcomes are lacking. PURPOSE: This study aims to describe outcomes including motor recovery, upper limb function, participation, pain, and quality of life for people receiving occupational therapy intervention. METHODS: A convenience sample of English-speaking adults (n = 30) with a traumatic BPI, attending the clinic between December 1, 2014, to November 30, 2016, participated. Participants received occupational therapy focusing on sensorimotor retraining and activity-based rehabilitation. Data on active range of motion (goniometry), strength (Medical Research Council (MRC)), upper-limb function (UEFI15, QuickDASH), participation (PSFS), pain (Brief Pain Inventory), and quality of life (EQ-5D-3L) were collected at baseline, 3, 6, 9, and 12 months. RESULTS: Elbow flexion strength showed significant improvement at all time-points, average increase 2.17 (MRC) (95% confidence interval: 1.29-3.04; P < .001) and mean final MRC grading 3.86 (standard error: 0.44). Significant improvements at 12 months were seen in: shoulder abduction strength and range, flexion strength and range, external rotation range; elbow extension strength and flexion range; thumb flexion and extension strength. Upper limb function (QuickDASH) showed significant improvement (mean change = 18.85; 95% confidence interval: 4.12-33.59; P = .02). Forearm protonation range and finger flexion strength were significantly worse. Remaining outcomes did not show significant improvement. CONCLUSIONS: Occupational therapy with surgical intervention can improve strength, range, and upper limb function with people following traumatic BPI. Further investigations into impact on participation, pain, and quality of life are required",J Hand Ther. 2020 Oct-Dec;33(4):528-539,10.1016/j.jht.2019.08.002
7150,"Effectiveness and safety of acupotomy for lumbar disc herniation: a study protocol for a randomized, assessor-blinded, controlled pilot trial",acupotomy; effectiveness; lumbar disc herniation; manual acupuncture; safety,"BACKGROUND: Acupotomy aims to reduce pressure on the nerve, improve surrounding blood circulation, and recover the kinetic state of soft tissue in treating lumbar disc herniation. Although several previous studies have suggested the potential use and substantial benefits of acupotomy, there is still insufficient evidence regarding this technique. This trial is designed to determine if acupotomy is more effective than manual acupuncture in improving low back pain and/or leg pain, disability, lumbar mobility, and quality of life in patients with herniated lumbar disc. METHODS: Fifty eligible patients will be randomly assigned to an acupotomy group or a manual acupuncture group in a 1:1 ratio. The experimental group will receive acupotomy at the affected side's inner core muscles and soft tissue at the level of the herniated disc where tenderness appears (twice per week for 2 weeks). The control group will receive manual acupuncture (thrice per week for 2 weeks) at GV3 (Yaoyangguan) and the bilateral BL23 (Shenshu), BL24 (Qihaishu), BL25 (Dachangshu), and BL26 (guanyuanshu) for local points and the bilateral GB30 (Huantio), BL40 (Weizhong), and BL60 (Kunlun) for distant points. The primary outcome will be the mean change in the visual analog scale from baseline to 4 weeks (2 weeks after final treatment). The Oswestry Disability Index, Modified-Modified Schober Test, and EuroQol five dimensions questionnaire will determine secondary outcomes. Adverse events will be evaluated at every visit. DISCUSSION: This study will provide valuable data and insights for a confirmative, full-scale randomized controlled trial to determine the clinical effects of acupotomy",Integr Med Res. 2017 Sep;6(3):310-316,10.1016/j.imr.2017.07.005
8379,A cost-effectiveness analysis of first-line induction and maintenance treatment sequences in patients with advanced nonsquamous non-small-cell lung cancer in France,France; advanced nonsquamous NSCLC; cost-effectiveness; induction–maintenance; pemetrexed; quality-adjusted life-years,"BACKGROUND: Comparative effectiveness and cost-effectiveness data for induction-maintenance (I-M) sequences for the treatment of patients with nonsquamous non-small-cell lung cancer (nsqNSCLC) are limited because of a lack of direct evidence. This analysis aimed to compare the cost-effectiveness of I-M pemetrexed with those of other I-M regimens used for the treatment of patients with advanced nsqNSCLC in the French health-care setting. MATERIALS AND METHODS: A previously developed global partitioned survival model was adapted to the France-only setting by restricting treatment sequences to include 12 I-M regimens most relevant to France, and incorporating French costs and resource-use data Following a systematic literature review, network meta-analyses were performed to obtain hazard ratios for progression-free survival (PFS) and overall survival (OS) relative to gemcitabine + cisplatin (induction sequences) or best supportive care (BSC) (maintenance sequences). Modeled health-care benefits were expressed as life-years (LYs) and quality-adjusted LYs (QALYs) (estimated using French EuroQol five-dimension questionnaire tariffs). The study was conducted from the payer perspective (National Health Insurance). Cost- and benefit-model inputs were discounted at an annual rate of 4%. RESULTS: Base-case results showed pemetrexed + cisplatin induction followed by (→) pemetrexed maintenance had the longest mean OS and PFS and highest LYs and QALYs. Costs ranged from €12,762 for paclitaxel + carboplatin → BSC to €35,617 for pemetrexed + cisplatin → pemetrexed (2015 values). Gemcitabine + cisplatin → BSC, pemetrexed + cisplatin → BSC, and pemetrexed + cisplatin → pemetrexed were associated with fully incremental cost-effectiveness ratios (ICERs) of €16,593, €80,656, and €102,179, respectively, per QALY gained versus paclitaxel + carboplatin → BSC. All other treatment sequences were either dominated (ie, another sequence had lower costs and better/equivalent outcomes) or extendedly dominated (ie, the comparator had a higher ICER than a more effective comparator) in the model. Sensitivity analyses showed the model to be relatively insensitive to plausible changes in the main assumptions, with none increasing or decreasing the ICER by more than ~€20,000 per QALY gained. CONCLUSION: In the absence of direct comparative trial evidence, this cost-effectiveness analysis indicated that of a large number of I-M sequences used for the treatment of patients with nsqNSCLC in France, pemetrexed + cisplatin → pemetrexed achieved the best clinical outcomes (0.28 incremental QALYs gained) versus paclitaxel + carboplatin → BSC",Clinicoecon Outcomes Res. 2017 Aug 16;9:505-518,10.2147/CEOR.S128371
485,Difference in Spinal Sagittal Alignment and Health-Related Quality of Life between Males and Females with Cervical Deformity,"Cervical alignment, Health-related QOL; Cervical deformity; Sex differences; Spinal deformity","STUDY DESIGN: Large cohort study. PURPOSE: To clarify spinal sagittal alignment and health-related quality of life (HRQOL) according to sex in volunteers aged >50 years with cervical deformity (CD). OVERVIEW OF LITERATURE: Adult spinal deformities, especially those associated with lumbosacral lesions, are more frequent in females; however, CD is observed to a greater extent in males METHODS: We divided 656 volunteers (263 males, 393 females; age, 50-89 years [mean, 73 years]) as follows: males with CD (CDM; 82 patients); males without CD (NCDM, 181); females with CD (CDF, 36); and females without CD (NCDF, 357). CD was defined as C2-7 sagittal vertical axis (SVA) ≥40 mm. We measured pelvic tilt (PT), pelvic incidence minus lumbar lordosis (PI-LL), thoracic kyphosis, T1 slope, cervical lordosis, C7 SVA, and C2-7 SVA. HRQOL was evaluated using EuroQOL five dimensions questionnaire (EQ-5D). RESULTS: In CDM, NCDM, CDF, and NCDF groups, the respective parameters were as follows: PT: 15°, 14°, 26°, and 21°; PI-LL: 7°, 5°, 16°, and 10°; C2-7 SVA: 49, 24, 46, and 20 mm; C7 SVA: 61, 40, 75, and 47 mm; and EQ-5D: 0.82, 0.88, 0.78, and 0.81. PT and PI-LL were significantly greater in the CDF group than in the NCDF group (p<0.05) but were not significantly different between CDM and NCDM groups. The CDF group already showed deterioration of spinopelvic alignment, although it was maintained in the CDM group. EQ-5D in showed significantly greater deterioration the CDM group than in the NCDM group; deterioration of lumbopelvic parameters had less influence in males (p<0.05). CONCLUSIONS: Sagittal spinal deformity may have different mechanisms in males and females. The deterioration of spinal sagittal alignment in males may originate from the cervical spine, and CD may be associated with HRQOL",Asian Spine J. 2017 Dec;11(6):959-967,10.4184/asj.2017.11.6.959
14158,Quality of life during maintenance therapy with the anti-CD20 antibody rituximab in patients with B cell non-Hodgkin's lymphoma: results of a prospective randomized controlled trial,"Animals; Antibodies, Monoclonal/therapeutic use; Antibodies, Monoclonal, Murine-Derived; Antineoplastic Agents/therapeutic use; Humans; Lymphoma, B-Cell/drug therapy/immunology; Male; Mice; Prospective Studies; Quality of Life; Rituximab; Surveys and Questionnaires","The introduction of rituximab into the primary treatment of malignant lymphomas of the B cell lineage has had a major impact on the management of these diseases In addition, prolonged exposure to rituximab as maintenance therapy has been beneficial in patients with follicular lymphoma and mantle cell lymphoma. For the individual patient, the effect of any prolonged antitumor therapy on the quality of life (QoL) is a very important question. However, so far, the question whether rituximab maintenance therapy may impair QoL in patients with non-Hodgkin's lymphoma remains unanswered. To investigate this subject, we have performed a prospective randomized trial of rituximab maintenance therapy (8 cycles rituximab 375 mg/m(2) every 3 months) versus observation in patients with CD20+B cell non-Hodgkin's lymphoma in our institution. Between July 2002 and December 2005, 122 patients were included into the trial. QoL was assessed with the standardized questionnaires EORTC-QLQ-C30, EuroQol-5D, and EuroQol-5D (VAS) in 91 patients After statistical analysis with the exact Wilcoxon rank sum test, we found no significant differences of the QoL between the rituximab treatment group and the observation group. We conclude that rituximab maintenance therapy seems to be safe and does not impair quality of life in this patient population",Ann Hematol. 2009 Jan;88(1):51-7,10.1007/s00277-008-0560-2
1415,Comparing EQ-5D-3L and EQ-5D-5L in measuring the HRQoL burden of 4 health conditions in China,China; Disease burden; EQ-5D-3L; EQ-5D-5L; Health-related quality of life,"BACKGROUND: EQ-5D-3L has been used in the National Health Services Survey of China since 2008 to monitor population health. The five-level version of EQ-5D was developed, but there lacks evidence to support the use of five-level version of EQ-5D in China. This study was conducted to compare the measurement properties of both the EQ-5D-3L and EQ-5D-5L in quantifying health-related quality of life (HRQoL) burden for 4 different health conditions in China. METHODS: Participants from China were recruited to complete the 3L and 5L questionnaire via Internet Quota was set to recruit five groups of individuals, with one group of individuals without any health condition and one group of generalized anxiety disorder (GAD), HIV/AIDS, chronic Hepatitis B (CHB), or depression, respectively The 3L and 5L were compared in terms of response distributions, percentages of reporting 'no problems', index value distributions, known-group validity and their relative efficiency. RESULTS: In total, 500 individuals completed the online survey, including 140 healthy individuals, 122 individuals with hepatitis B, 107 with depression, 90 individuals with GAD and 101 with HIV/AIDS. 5L also had smoother and less clustered index value distributions. Healthy group showed different response distributions to the four condition groups. The percentage of reporting 'no problems' decreased significantly in the 5L in all domains (P < 0.01), especially in the pain/discomfort dimension (relative difference: 43.10%). Relative efficiency suggested that 5L had a higher absolute discriminatory power than the 3L version between healthy participant and the other 4 condition groups, especially for the HIV/AIDS group when the 3L results was not significant. CONCLUSIONS: The 5L version may be preferable to the 3L, as it demonstrated superior performance with respect to higher sensitivity to mild health problems, better relative efficiency and responses and index value distributions",Eur J Health Econ. 2022 May 10,10.1007/s10198-022-01465-7
13828,Cost-effectiveness of involving nurse specialists for adult patients with urinary incontinence in primary care compared to care-as-usual: an economic evaluation alongside a pragmatic randomized controlled trial,"Aged; Aged, 80 and over; Cost-Benefit Analysis; Female; Health Care Costs; Humans; Male; Middle Aged; Nurse Clinicians/economics; Primary Health Care/economics; Quality of Life; Quality-Adjusted Life Years; Surveys and Questionnaires; Treatment Outcome; Urinary Incontinence/economics/nursing","AIMS: To determine the 12-month, societal cost-effectiveness of involving urinary incontinence (UI) nurse specialists in primary care compared to care-as-usual by general practitioners (GPs). METHODS: From 2005 until 2008 an economic evaluation was performed alongside a pragmatic multicenter randomized controlled trial comparing UI patients receiving care by nurse specialists with patients receiving care-as-usual by GPs in the Netherlands. One hundred eighty-six adult patients with stress, urgency, or mixed UI were randomly allocated to the intervention and 198 to care-as-usual; they were followed for 1 year. Main outcome measures were Quality Adjusted Life Year (QALY(societal) ) based on societal preferences for health outcomes (EuroQol-5D), QALY(patient) based on patient preferences for health outcomes (EuroQol VAS), and Incontinence Severity weighted Life Year (ISLY) based on patient-reported severity and impact of UI (ICIQ-UI SF). Health care resource use, patient and family costs, and productivity costs were assessed. Data were collected by three monthly questionnaires. Incremental cost-effectiveness ratios were calculated. Uncertainty was assessed using bootstrap simulation, and the expected value of perfect information was calculated (EVPI). RESULTS: Compared to care-as-usual, nurse specialist involvement costs € 16,742/QALY(societal) gained. Both QALY(patient) and ISLY yield slightly more favorable cost-effectiveness results. At a threshold of € 40,000/QALY(societal,) the probability that the intervention is cost-effective is 58%. The EVPI amounts to € 78 million. CONCLUSIONS: Based on these results, we recommend adopting the nurse specialist intervention in primary care, while conducting more research through careful monitoring of the effectiveness and costs of the intervention in routine practice",Neurourol Urodyn. 2012 Apr;31(4):526-34,10.1002/nau.21204
